GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
devops_machineinfo_spring_boot_app_jenkins,com.example.demo,HomeController,59,65,2,8,19,17,4,6,2,3
devops_machineinfo_spring_boot_app_jenkins,com.example.demo,DevopsMachineinfoSpringBootAppJenkinsApplication,5,3,0,0,2,1,1,1,1,1
